,Libary,Class,Total_NumMeth,Sentences_min,Sentences_avg,Sentences_max,Total_sentences,TMRs
0,elastic,org.elasticsearch.common.util.concurrent.ThreadContext,23,1,1.35,3,31,1
1,elastic,org.elasticsearch.rest.RestRequest,19,1,1.63,3,31,5
2,elastic,org.elasticsearch.common.geo.GeoUtils,19,1,1.63,5,31,1
3,elastic,org.elasticsearch.search.suggest.SuggestionBuilder,17,1,1.35,6,23,1
4,elastic,org.elasticsearch.common.io.FastCharArrayWriter,17,1,1.41,3,24,0
5,elastic,org.elasticsearch.cluster.metadata.IndexNameExpressionResolver,14,1,1.64,4,23,0
6,elastic,org.elasticsearch.common.io.UTF8StreamWriter,11,1,1.45,4,16,1
7,elastic,org.elasticsearch.search.suggest.completion.CompletionSuggestionBuilder,9,1,1.22,2,11,3
8,elastic,org.elasticsearch.search.aggregations.bucket.range.IpRangeAggregationBuilder,8,1,1.0,1,8,0
9,elastic,org.elasticsearch.search.aggregations.bucket.range.GeoDistanceAggregationBuilder,8,1,1.0,1,8,0
10,elastic,org.elasticsearch.search.aggregations.bucket.BucketsAggregator,8,1,1.0,1,8,1
11,elastic,org.elasticsearch.search.aggregations.bucket.range.RangeAggregationBuilder,7,1,1.0,1,7,0
12,elastic,org.elasticsearch.common.collect.CopyOnWriteHashMap,6,1,1.33,2,8,0
13,elastic,org.elasticsearch.common.util.concurrent.AbstractRunnable,5,1,1.2,2,6,0
14,elastic,org.elasticsearch.rest.RestUtils,4,1,2.5,6,10,8
15,elastic,org.elasticsearch.common.Randomness,3,1,2.0,3,6,0
16,elastic,org.elasticsearch.cluster.routing.ShardShuffler,3,1,1.33,2,4,1
17,elastic,org.elasticsearch.cluster.action.index.MappingUpdatedAction,2,1,1.5,2,3,0
18,elastic,org.elasticsearch.common.util.concurrent.EsThreadPoolExecutor,1,2,2.0,2,2,2
