,Libary,Class,Total_NumMeth,Sentences_min,Sentences_avg,Sentences_max,Total_sentences,TMRs
0,gwt,com.google.gwt.core.client.JsDate,71,1,1.55,3,110,9
1,gwt,com.google.gwt.user.client.ui.ListBox,35,1,1.63,4,57,10
2,gwt,com.google.gwt.i18n.shared.BidiFormatter,26,1,2.23,8,58,10
3,gwt,com.google.gwt.i18n.shared.BidiUtils,16,1,1.44,5,23,7
4,gwt,com.google.gwt.i18n.shared.BidiFormatterBase,15,1,1.13,3,17,1
5,gwt,com.google.gwt.regexp.shared.RegExp,13,1,2.38,7,31,3
6,gwt,com.google.gwt.animation.client.Animation,12,1,2.5,5,30,7
7,gwt,com.google.gwt.i18n.client.CurrencyData,10,1,1.6,2,16,4
8,gwt,com.google.gwt.user.server.rpc.RPC,10,1,2.9,5,29,10
9,gwt,com.google.web.bindery.requestfactory.shared.testing.FakeRequestFactory,10,1,1.0,1,10,1
10,gwt,com.google.gwt.i18n.rebind.AbstractResource,8,1,1.12,2,9,2
11,gwt,com.google.gwt.i18n.client.AutoDirectionHandler,8,1,1.5,4,12,2
12,gwt,com.google.web.bindery.requestfactory.shared.Request,5,1,1.2,2,6,0
13,gwt,com.google.gwt.core.client.impl.WeakMapping,3,1,1.67,3,5,0
14,gwt,com.google.gwt.safecss.shared.SafeStyles,3,2,2.0,2,6,2
15,gwt,com.google.gwt.safehtml.shared.SafeHtml,3,2,2.0,2,6,2
16,gwt,com.google.gwt.safehtml.shared.SafeUri,3,2,2.0,2,6,2
17,gwt,com.google.web.bindery.autobean.vm.impl.TypeUtils,2,1,1.0,1,2,1
