,Libary,Class,Total_NumMeth,Sentences_min,Sentences_avg,Sentences_max,Total_sentences,TMRs
0,sbes-guava,com.google.common.collect.Maps,68,1,5.12,15,348,0
1,sbes-guava,com.google.common.collect.Sets,37,1,4.59,11,170,6
2,sbes-guava,com.google.common.collect.Lists,27,1,3.59,15,97,0
3,sbes-guava,com.google.common.collect.ImmutableMultimap,23,1,1.43,3,33,0
4,sbes-guava,com.google.common.collect.Multimap,20,1,2.55,6,51,6
5,sbes-guava,com.google.common.collect.Table,19,1,2.21,5,42,0
6,sbes-guava,com.google.common.collect.Multiset,17,1,3.06,7,52,6
7,sbes-guava,com.google.common.collect.ImmutableMultiset,15,1,1.07,2,16,0
8,sbes-guava,com.google.common.collect.SortedMultiset,12,1,1.92,5,23,5
9,sbes-guava,com.google.common.collect.ImmutableListMultimap,12,1,1.58,4,19,0
10,sbes-guava,com.google.common.collect.ConcurrentHashMultiset,11,1,1.91,6,21,0
11,sbes-guava,com.google.common.collect.AbstractMapBasedMultimap,11,1,1.82,4,20,0
12,sbes-guava,com.google.common.collect.ImmutableCollection,10,1,1.4,3,14,0
13,sbes-guava,com.google.common.collect.LinkedListMultimap,9,1,1.89,5,17,7
14,sbes-guava,com.google.common.collect.AbstractSetMultimap,8,1,1.38,3,11,0
15,sbes-guava,com.google.common.collect.LinkedHashMultimap,8,1,2.12,5,17,3
16,sbes-guava,com.google.common.collect.AbstractListMultimap,7,1,1.29,3,9,0
17,sbes-guava,com.google.common.collect.TreeBasedTable,7,1,1.57,3,11,0
18,sbes-guava,com.google.common.collect.TreeMultimap,7,1,1.14,2,8,0
19,sbes-guava,com.google.common.collect.AbstractSortedSetMultimap,6,1,3.17,6,19,0
20,sbes-guava,com.google.common.collect.SetMultimap,6,1,1.83,4,11,0
21,sbes-guava,com.google.common.collect.SortedSetMultimap,5,1,3.4,7,17,0
22,sbes-guava,com.google.common.collect.StandardTable,5,1,1.4,2,7,0
23,sbes-guava,com.google.common.collect.ListMultimap,5,1,1.8,4,9,0
24,sbes-guava,com.google.common.collect.ArrayListMultimap,5,1,1.0,1,5,0
25,sbes-guava,com.google.common.collect.AbstractMultiset,5,1,1.0,1,5,0
26,sbes-guava,com.google.common.collect.HashMultimap,4,1,1.25,2,5,0
27,sbes-guava,com.google.common.collect.LinkedHashMultiset,3,1,1.33,2,4,0
28,sbes-guava,com.google.common.collect.HashMultiset,3,1,1.33,2,4,0
29,sbes-guava,com.google.common.collect.HashBasedTable,3,1,1.0,1,3,0
30,sbes-guava,com.google.common.collect.TreeMultiset,3,3,4.33,6,13,0
31,sbes-guava,com.google.common.collect.SortedIterable,2,1,1.0,1,2,0
32,sbes-guava,com.google.common.collect.RowSortedTable,2,1,1.0,1,2,0
33,sbes-guava,com.google.common.collect.StandardRowSortedTable,2,1,1.0,1,2,0
34,sbes-guava,com.google.common.collect.AbstractMultimap,2,1,2.0,3,4,0
35,sbes-guava,com.google.common.collect.AbstractMapBasedMultiset,2,1,1.0,1,2,0
36,sbes-guava,com.google.common.collect.AbstractTable,1,1,1.0,1,1,0
