,library,jsonFileName,signature,name,targetClass,equivalence.comment,equivalence.kind,equivalence.condition
0,math,org.apache.commons.math3.analysis.interpolation.LoessInterpolator_goal.json,"org.apache.commons.math3.analysis.interpolation.LoessInterpolator(double bandwidth, int robustnessIters)",org.apache.commons.math3.analysis.interpolation.LoessInterpolator,org.apache.commons.math3.analysis.interpolation.LoessInterpolator,"Construct a new LoessInterpolator with given bandwidth and number of robustness iterations.  Calling this constructor is equivalent to calling {link #LoessInterpolator(double, int, double) LoessInterpolator(bandwidth, robustnessIters, LoessInterpolator.DEFAULT_ACCURACY)",FreeText,"methodResultID.equals(new LoessInterpolator(args[0], args[1], LoessInterpolator.DEFAULT_ACCURACY))"
1,math,org.apache.commons.math3.fitting.CurveFitter_goal.json,"addObservedPoint(double x, double y)",addObservedPoint,org.apache.commons.math3.fitting.CurveFitter,"Calling this method is equivalent to call addObservedPoint(1.0, x, y).",FreeText,"addObservedPoint(1.0, args[0], args[1])"
2,math,org.apache.commons.math3.fitting.leastsquares.EvaluationRmsChecker_goal.json,org.apache.commons.math3.fitting.leastsquares.EvaluationRmsChecker(double tol),org.apache.commons.math3.fitting.leastsquares.EvaluationRmsChecker,org.apache.commons.math3.fitting.leastsquares.EvaluationRmsChecker,"Create a convergence checker for the RMS with the same relative and absolute tolerance. Convenience constructor for when the relative and absolute tolerances are the same. Same as new EvaluationRmsChecker(tol, tol).",FreeText,"methodResultID.equals(new EvaluationRmsChecker(args[0], args[0])"
3,math,org.apache.commons.math3.fitting.WeightedObservedPoints_goal.json,"add(double x, double y)",add,org.apache.commons.math3.fitting.WeightedObservedPoints,"Adds a point to the sample. Calling this method is equivalent to calling add(1.0, x, y).",FreeText,"add(1.0, args[0], args[1])"
4,math,org.apache.commons.math3.geometry.euclidean.oned.Vector1D_goal.json,"distance(org.apache.commons.math3.geometry.euclidean.oned.Vector1D p1, org.apache.commons.math3.geometry.euclidean.oned.Vector1D p2)",distance,org.apache.commons.math3.geometry.euclidean.oned.Vector1D,Calling this method is equivalent to calling: <code>p1.subtract(p2).getNorm()</code> except that no intermediate vector is built,FreeText,methodResultID==(args[0].subtract(args[1]).getNorm())
5,math,org.apache.commons.math3.geometry.euclidean.oned.Vector1D_goal.json,"distanceInf(org.apache.commons.math3.geometry.euclidean.oned.Vector1D p1, org.apache.commons.math3.geometry.euclidean.oned.Vector1D p2)",distanceInf,org.apache.commons.math3.geometry.euclidean.oned.Vector1D,Calling this method is equivalent to calling: <code>p1.subtract(p2).getNormInf()</code> except that no intermediate vector is built,FreeText,methodResultID==(args[0].subtract(args[1]).getNormInf())
6,math,org.apache.commons.math3.geometry.euclidean.oned.Vector1D_goal.json,"distanceSq(org.apache.commons.math3.geometry.euclidean.oned.Vector1D p1, org.apache.commons.math3.geometry.euclidean.oned.Vector1D p2)",distanceSq,org.apache.commons.math3.geometry.euclidean.oned.Vector1D,Calling this method is equivalent to calling: <code>p1.subtract(p2).getNormSq()</code> except that no intermediate vector is built,FreeText,methodResultID==(args[0].subtract(args[1]).getNormSq())
7,math,org.apache.commons.math3.geometry.euclidean.threed.FieldRotation_goal.json,applyTo(org.apache.commons.math3.geometry.euclidean.threed.FieldRotation<T> r),applyTo,org.apache.commons.math3.geometry.euclidean.threed.FieldRotation,"Calling this method is equivalent to call #compose(FieldRotation, RotationConvention) compose(r, RotationConvention.VECTOR_OPERATOR).",FreeText,"methodResultID.equals(receiverObjectClone.compose(args[0],org.apache.commons.math3.geometry.euclidean.threed.RotationConvention.VECTOR_OPERATOR))"
8,math,org.apache.commons.math3.geometry.euclidean.threed.FieldRotation_goal.json,applyTo(org.apache.commons.math3.geometry.euclidean.threed.Rotation r),applyTo,org.apache.commons.math3.geometry.euclidean.threed.FieldRotation,"Calling this method is equivalent to call #compose(Rotation, RotationConvention) compose(r, RotationConvention.VECTOR_OPERATOR).",FreeText,"methodResultID.equals(receiverObjectClone.compose(args[0],org.apache.commons.math3.geometry.euclidean.threed.RotationConvention.VECTOR_OPERATOR))"
9,math,org.apache.commons.math3.geometry.euclidean.threed.FieldRotation_goal.json,applyInverseTo(org.apache.commons.math3.geometry.euclidean.threed.FieldRotation<T> r),applyInverseTo,org.apache.commons.math3.geometry.euclidean.threed.FieldRotation,"Calling this method is equivalent to call #composeInverse(FieldRotation, RotationConvention) composeInverse(r, RotationConvention.VECTOR_OPERATOR).",FreeText,"methodResultID.equals(receiverObjectClone.composeInverse(args[0],org.apache.commons.math3.geometry.euclidean.threed.RotationConvention.VECTOR_OPERATOR))"
